Date,State,Housing Inventory,Construction Costs,Land Availability,Interest Rates,Economic Conditions,Population Growth,Consumer Confidence,Demographic Trends,Location & Amenities,House Price ($),House Area (sqft)
2011-05-10,California,95973,115438,Abundant,4.96,Moderate,1.7,High,Aging Population,"Urban, Good Schools",611915,3682
2011-05-11,Rhode Island,132663,165567,Limited,3.49,Moderate,0.93,Low,Aging Population,"Suburban, Transport",527793,2875
2011-05-12,Wisconsin,105424,169097,Abundant,3.56,Strong,0.72,Moderate,Aging Population,"Urban, Good Schools",741646,3333
2011-05-13,Louisiana,101455,112930,Limited,5.52,Moderate,1.72,High,Millennial Buyers,"Urban, Good Schools",774035,1439
2011-05-14,Illinois,79707,183133,Limited,3.67,Weak,0.89,Low,Millennial Buyers,"Urban, Good Schools",459916,3570
2011-05-15,Minnesota,140656,149268,Abundant,5.2,Strong,0.52,High,Millennial Buyers,"Urban, Good Schools",255897,1763
2011-05-16,South Dakota,74851,119967,Limited,3.46,Strong,1.2,Low,Millennial Buyers,"Urban, Good Schools",571329,3816
2011-05-17,Delaware,164578,165138,Abundant,5.89,Moderate,0.67,Low,Aging Population,"Suburban, Transport",340989,1665
2011-05-18,North Dakota,181479,111175,Abundant,4.31,Strong,0.96,Moderate,Millennial Buyers,"Urban, Good Schools",713463,3152
2011-05-19,Nevada,165125,136734,Limited,5.94,Moderate,1.32,Moderate,Aging Population,"Suburban, Transport",316442,2770
2011-05-20,Alabama,81106,141749,Limited,4.81,Moderate,1.64,Moderate,Millennial Buyers,"Suburban, Transport",301008,3458
2011-05-21,Wisconsin,63361,146517,Limited,5.7,Strong,0.76,Moderate,Aging Population,"Urban, Good Schools",260969,2492
2011-05-22,Colorado,81297,120782,Abundant,5.06,Weak,1.02,Moderate,Millennial Buyers,"Suburban, Transport",269307,3303
2011-05-23,Ohio,162146,152201,Limited,4.96,Weak,0.99,Low,Millennial Buyers,"Urban, Good Schools",578375,3069
2011-05-24,Tennessee,123211,199153,Limited,5.44,Strong,1.23,Moderate,Aging Population,"Urban, Good Schools",218579,2074
2011-05-25,Massachusetts,182825,167271,Abundant,3.25,Strong,1.99,Moderate,Aging Population,"Suburban, Transport",577201,3746
2011-05-26,Utah,143582,170861,Abundant,4.8,Moderate,1.12,Moderate,Millennial Buyers,"Urban, Good Schools",336329,2891
2011-05-27,Idaho,131258,171863,Abundant,5.05,Moderate,1.44,Low,Millennial Buyers,"Suburban, Transport",579298,1096
2011-05-28,Idaho,195950,183990,Limited,3.8,Weak,0.52,Moderate,Aging Population,"Urban, Good Schools",579951,2217
2011-05-29,Kansas,83530,131321,Abundant,3.03,Weak,1.52,Low,Aging Population,"Suburban, Transport",459846,3854
2011-05-30,South Dakota,149187,126972,Limited,5.8,Strong,1.65,High,Millennial Buyers,"Suburban, Transport",321334,1998
2011-05-31,Colorado,169148,101667,Abundant,3.33,Strong,1.35,Low,Aging Population,"Suburban, Transport",313301,2754
2011-06-01,Iowa,154232,176669,Abundant,3.08,Moderate,1.75,Low,Aging Population,"Urban, Good Schools",734793,2512
2011-06-02,Idaho,102856,172366,Limited,3.55,Weak,1.72,High,Millennial Buyers,"Suburban, Transport",280873,3244
2011-06-03,Illinois,59321,114888,Limited,5.45,Moderate,0.67,Moderate,Millennial Buyers,"Urban, Good Schools",285894,1698
2011-06-04,Wyoming,182689,115987,Limited,5.46,Weak,1.68,Low,Millennial Buyers,"Suburban, Transport",526873,1861
2011-06-05,Alabama,178838,194732,Abundant,5.11,Moderate,0.8,Moderate,Millennial Buyers,"Suburban, Transport",570274,1549
2011-06-06,Kansas,58583,106526,Abundant,3.54,Weak,0.92,Low,Aging Population,"Suburban, Transport",186148,3835
2011-06-07,Alaska,110133,140921,Abundant,3.9,Strong,1.51,High,Millennial Buyers,"Urban, Good Schools",324214,3080
2011-06-08,Louisiana,127237,130938,Abundant,5.44,Strong,0.97,Low,Millennial Buyers,"Urban, Good Schools",728720,2079
2011-06-09,Nevada,74370,107243,Limited,5.71,Moderate,1.68,Moderate,Millennial Buyers,"Urban, Good Schools",722418,3398
2011-06-10,Louisiana,184737,166415,Abundant,3.38,Weak,1.66,High,Aging Population,"Suburban, Transport",467645,2087
2011-06-11,South Carolina,168083,147405,Abundant,4.72,Moderate,0.6,High,Aging Population,"Suburban, Transport",578082,2856
2011-06-12,Montana,57537,160491,Limited,3.43,Weak,1.81,Moderate,Millennial Buyers,"Urban, Good Schools",363617,2275
2011-06-13,Hawaii,60030,145285,Abundant,4.24,Weak,1.31,Moderate,Millennial Buyers,"Suburban, Transport",575394,3487
2011-06-14,Tennessee,66497,135219,Limited,3.37,Weak,1.24,Low,Millennial Buyers,"Urban, Good Schools",478563,2719
2011-06-15,Mississippi,129493,131025,Abundant,4.32,Weak,1.44,Moderate,Millennial Buyers,"Urban, Good Schools",700075,1756
2011-06-16,Ohio,170300,110345,Abundant,3.87,Strong,1.71,Low,Aging Population,"Suburban, Transport",251852,2325
2011-06-17,Alaska,67222,111705,Abundant,4.21,Moderate,1.31,Moderate,Aging Population,"Suburban, Transport",620212,1161
2011-06-18,Oregon,69360,198222,Abundant,4.4,Moderate,1.32,High,Aging Population,"Urban, Good Schools",384704,3104
2011-06-19,South Dakota,133898,181594,Limited,4.91,Strong,0.71,Low,Millennial Buyers,"Urban, Good Schools",479172,3963
2011-06-20,Oregon,98746,102531,Limited,5.72,Strong,1.01,High,Aging Population,"Urban, Good Schools",320615,1042
2011-06-21,New Jersey,112782,158082,Abundant,4.24,Moderate,0.85,High,Millennial Buyers,"Suburban, Transport",703833,1563
2011-06-22,Nebraska,143562,147110,Limited,4.53,Weak,0.84,High,Aging Population,"Suburban, Transport",250972,2446
2011-06-23,North Carolina,190392,187032,Limited,5.71,Moderate,1.92,Low,Aging Population,"Suburban, Transport",627283,3835
2011-06-24,New Jersey,131596,147782,Limited,4.98,Moderate,1.59,Moderate,Aging Population,"Urban, Good Schools",270641,1954
2011-06-25,Maryland,118118,145039,Abundant,5.15,Moderate,1.43,High,Millennial Buyers,"Urban, Good Schools",298551,3612
2011-06-26,Utah,91518,117459,Abundant,4.46,Moderate,1.85,High,Aging Population,"Suburban, Transport",236576,1469
2011-06-27,Nebraska,181236,163083,Abundant,3.22,Moderate,1.09,Low,Millennial Buyers,"Suburban, Transport",610521,2434
2011-06-28,New Hampshire,165907,163624,Abundant,4.5,Strong,1.55,Low,Millennial Buyers,"Urban, Good Schools",250517,1715
2011-06-29,Oklahoma,148362,192726,Abundant,3.01,Moderate,1.6,Moderate,Aging Population,"Urban, Good Schools",173375,2949
2011-06-30,Utah,75541,107690,Limited,3.93,Strong,0.93,Moderate,Aging Population,"Suburban, Transport",701607,3150
2011-07-01,New Mexico,133256,184528,Abundant,3.03,Strong,1.55,Low,Aging Population,"Suburban, Transport",220374,2907
2011-07-02,Arkansas,107506,120020,Abundant,3.69,Strong,1.03,High,Millennial Buyers,"Urban, Good Schools",292051,3554
2011-07-03,Wisconsin,56589,192954,Abundant,5.2,Moderate,1.82,Low,Aging Population,"Urban, Good Schools",386652,1959
2011-07-04,Nebraska,136091,170218,Limited,5.68,Weak,0.89,Moderate,Aging Population,"Urban, Good Schools",372168,1118
2011-07-05,Nevada,71245,170019,Abundant,3.64,Strong,1.41,Low,Millennial Buyers,"Urban, Good Schools",787312,3924
2011-07-06,Louisiana,119443,115521,Abundant,3.92,Moderate,1.87,High,Millennial Buyers,"Suburban, Transport",417004,1124
2011-07-07,Minnesota,55788,179948,Abundant,3.14,Weak,0.92,Moderate,Aging Population,"Urban, Good Schools",563667,3609
2011-07-08,South Dakota,61298,175572,Abundant,5.28,Weak,1.79,Low,Aging Population,"Suburban, Transport",439515,2788
2011-07-09,North Dakota,58598,178671,Abundant,5.51,Weak,0.83,Low,Millennial Buyers,"Suburban, Transport",536215,3373
2011-07-10,South Dakota,105485,160915,Limited,3.48,Weak,1.46,Moderate,Aging Population,"Suburban, Transport",266316,1530
2011-07-11,South Dakota,175173,157783,Limited,5.49,Moderate,1.83,High,Millennial Buyers,"Suburban, Transport",713844,3693
2011-07-12,South Carolina,149568,186072,Abundant,5.31,Moderate,1.73,Low,Millennial Buyers,"Urban, Good Schools",340428,1334
2011-07-13,New Jersey,182154,115824,Abundant,3.9,Moderate,1.65,High,Millennial Buyers,"Suburban, Transport",624452,2329
2011-07-14,Oregon,55937,129360,Limited,5.01,Strong,1.09,Low,Aging Population,"Suburban, Transport",582809,3748
2011-07-15,North Carolina,77955,120759,Abundant,3.96,Strong,1.83,High,Aging Population,"Urban, Good Schools",157452,1020
2011-07-16,California,53218,172269,Abundant,4.22,Moderate,1.99,Low,Aging Population,"Urban, Good Schools",875877,3571
2011-07-17,South Dakota,184209,122426,Abundant,5.7,Strong,1.6,Moderate,Millennial Buyers,"Suburban, Transport",462779,2164
2011-07-18,West Virginia,121712,168284,Abundant,3.19,Strong,1.72,Moderate,Aging Population,"Suburban, Transport",249469,2734
2011-07-19,Massachusetts,134762,138120,Limited,4.07,Moderate,1.14,High,Aging Population,"Urban, Good Schools",266906,1564
2011-07-20,Maine,94507,124655,Limited,3.96,Moderate,1.54,High,Aging Population,"Suburban, Transport",286189,1195
2011-07-21,Missouri,123819,161759,Limited,4.71,Weak,1.66,High,Aging Population,"Suburban, Transport",484919,1637
2011-07-22,New Mexico,156006,198439,Abundant,5.4,Weak,1.17,Low,Millennial Buyers,"Urban, Good Schools",704737,3310
2011-07-23,Connecticut,140366,199219,Limited,3.38,Weak,1.88,Moderate,Aging Population,"Urban, Good Schools",407742,1944
2011-07-24,Michigan,104162,135880,Limited,3.73,Strong,0.67,High,Millennial Buyers,"Suburban, Transport",735620,2193
2011-07-25,Alabama,114476,114310,Limited,3.73,Moderate,0.84,Low,Aging Population,"Suburban, Transport",559746,3813
2011-07-26,South Carolina,115805,138349,Limited,5.24,Moderate,0.65,High,Aging Population,"Suburban, Transport",281641,3871
2011-07-27,New York,70259,144867,Limited,3.95,Weak,0.78,Moderate,Aging Population,"Urban, Good Schools",1697113,3858
2011-07-28,Indiana,103234,142584,Abundant,4.14,Weak,1.47,Moderate,Aging Population,"Urban, Good Schools",728759,1121
2011-07-29,Missouri,193524,181402,Abundant,5.89,Strong,0.66,High,Millennial Buyers,"Urban, Good Schools",784356,1740
2011-07-30,Georgia,151859,126809,Limited,4.9,Strong,1.33,Moderate,Millennial Buyers,"Urban, Good Schools",184945,1777
2011-07-31,Alaska,97917,186982,Abundant,4.72,Moderate,1.32,Moderate,Millennial Buyers,"Suburban, Transport",754117,3834
2011-08-01,Iowa,83888,139566,Abundant,3.2,Weak,0.67,High,Millennial Buyers,"Suburban, Transport",595863,3202
2011-08-02,Nebraska,197070,142372,Abundant,4.46,Weak,1.0,High,Aging Population,"Urban, Good Schools",649393,2822
2011-08-03,Delaware,75673,121608,Limited,5.45,Moderate,1.47,Moderate,Aging Population,"Suburban, Transport",290718,3825
2011-08-04,Oklahoma,75324,154442,Limited,4.72,Moderate,1.6,Low,Aging Population,"Suburban, Transport",561562,1643
2011-08-05,Utah,196466,160102,Abundant,5.2,Strong,1.05,High,Millennial Buyers,"Suburban, Transport",640588,2266
2011-08-06,Kansas,176232,100502,Limited,5.46,Strong,1.6,Moderate,Aging Population,"Suburban, Transport",638391,1034
2011-08-07,Washington,183773,122217,Limited,5.27,Strong,1.02,High,Millennial Buyers,"Urban, Good Schools",159442,3253
2011-08-08,Montana,86830,145305,Limited,4.58,Moderate,1.73,High,Aging Population,"Urban, Good Schools",773351,1440
2011-08-09,North Dakota,75783,183424,Limited,5.88,Moderate,1.27,Low,Aging Population,"Urban, Good Schools",163317,2890
2011-08-10,Virginia,130535,190452,Abundant,3.4,Weak,1.39,High,Aging Population,"Urban, Good Schools",271086,2490
2011-08-11,Hawaii,176626,177476,Limited,4.76,Weak,1.56,Low,Aging Population,"Urban, Good Schools",463105,2471
2011-08-12,Rhode Island,162527,145071,Abundant,4.86,Weak,0.75,High,Aging Population,"Urban, Good Schools",782981,3380
2011-08-13,North Carolina,194613,177338,Limited,4.05,Moderate,1.8,High,Aging Population,"Urban, Good Schools",483824,3336
2011-08-14,Illinois,139565,172302,Abundant,4.83,Weak,0.59,High,Millennial Buyers,"Urban, Good Schools",237912,3876
2011-08-15,Idaho,87708,185161,Abundant,3.63,Weak,1.66,High,Millennial Buyers,"Suburban, Transport",784815,2878
2011-08-16,Nevada,64813,191499,Abundant,3.93,Strong,1.38,Moderate,Aging Population,"Urban, Good Schools",335455,1066
2011-08-17,Illinois,177228,104325,Limited,4.17,Moderate,1.21,Moderate,Aging Population,"Suburban, Transport",166251,3714
2011-08-18,Arkansas,126714,162117,Abundant,5.92,Weak,1.75,Low,Millennial Buyers,"Urban, Good Schools",791975,1503
2011-08-19,Kentucky,103179,180756,Abundant,4.98,Strong,1.13,Low,Millennial Buyers,"Urban, Good Schools",728987,2187
2011-08-20,Georgia,52774,161093,Abundant,5.39,Strong,1.29,Low,Aging Population,"Urban, Good Schools",741195,3366
2011-08-21,Vermont,146347,171073,Abundant,3.78,Strong,0.85,Moderate,Millennial Buyers,"Suburban, Transport",537539,3443
2011-08-22,Nebraska,56342,193858,Abundant,3.3,Moderate,1.52,High,Millennial Buyers,"Urban, Good Schools",203461,2370
2011-08-23,Louisiana,92685,167898,Limited,5.95,Strong,0.56,High,Millennial Buyers,"Urban, Good Schools",778833,3586
2011-08-24,Alabama,167827,162193,Abundant,5.68,Weak,1.1,High,Aging Population,"Urban, Good Schools",584228,2483
2011-08-25,North Dakota,102670,141499,Limited,4.63,Moderate,1.99,Moderate,Millennial Buyers,"Urban, Good Schools",523829,1024
2011-08-26,New Jersey,177004,161401,Abundant,4.21,Moderate,1.64,Moderate,Aging Population,"Urban, Good Schools",498982,1258
2011-08-27,Iowa,105446,109987,Limited,5.59,Strong,0.7,Moderate,Millennial Buyers,"Urban, Good Schools",314047,2595
2011-08-28,New York,154673,190271,Limited,5.75,Weak,1.66,Moderate,Millennial Buyers,"Suburban, Transport",1307634,3656
2011-08-29,Illinois,108025,195096,Limited,3.73,Strong,0.63,High,Millennial Buyers,"Urban, Good Schools",662777,2152
2011-08-30,Kentucky,117373,109263,Limited,3.83,Weak,1.07,Moderate,Aging Population,"Suburban, Transport",313179,1116
2011-08-31,Nebraska,86975,124836,Abundant,4.81,Weak,0.66,Low,Millennial Buyers,"Urban, Good Schools",252454,3311
2011-09-01,Connecticut,181616,196596,Abundant,3.43,Weak,1.06,Low,Aging Population,"Suburban, Transport",718912,3085
2011-09-02,North Dakota,72105,160987,Abundant,4.72,Weak,0.65,Low,Aging Population,"Suburban, Transport",223407,3578
2011-09-03,Washington,53988,167384,Abundant,4.02,Weak,0.99,Low,Millennial Buyers,"Urban, Good Schools",686705,3808
2011-09-04,Georgia,52684,166798,Abundant,5.98,Strong,1.41,High,Aging Population,"Suburban, Transport",222949,1683
2011-09-05,West Virginia,72002,133339,Abundant,3.75,Weak,1.14,High,Aging Population,"Urban, Good Schools",522002,1653
2011-09-06,Florida,65699,163733,Abundant,5.02,Moderate,1.06,Moderate,Millennial Buyers,"Suburban, Transport",252823,3232
2011-09-07,Delaware,131844,164552,Abundant,3.11,Strong,0.85,High,Aging Population,"Urban, Good Schools",633392,2668
2011-09-08,Pennsylvania,56495,169440,Limited,3.74,Moderate,0.99,Low,Millennial Buyers,"Suburban, Transport",195837,1224
2011-09-09,Maine,111222,110413,Limited,5.26,Moderate,0.52,Low,Millennial Buyers,"Urban, Good Schools",500400,2837
2011-09-10,Illinois,172973,146281,Abundant,5.68,Moderate,1.73,Low,Millennial Buyers,"Suburban, Transport",654067,2354
2011-09-11,Iowa,129171,104530,Limited,4.52,Strong,1.11,High,Millennial Buyers,"Urban, Good Schools",234950,1625
2011-09-12,South Carolina,91161,127695,Limited,5.92,Weak,1.56,Moderate,Millennial Buyers,"Suburban, Transport",458614,3868
2011-09-13,Washington,107706,170105,Limited,3.89,Moderate,0.96,High,Aging Population,"Suburban, Transport",557625,3002
2011-09-14,Connecticut,106905,112454,Limited,4.93,Strong,0.78,High,Millennial Buyers,"Suburban, Transport",315019,3272
2011-09-15,Rhode Island,127858,118106,Limited,5.24,Strong,1.04,Low,Aging Population,"Urban, Good Schools",244221,1536
2011-09-16,Colorado,132621,159378,Limited,5.77,Weak,0.99,Low,Aging Population,"Urban, Good Schools",274291,2990
2011-09-17,Kentucky,162366,111655,Limited,5.64,Moderate,0.67,Low,Aging Population,"Suburban, Transport",467723,3221
2011-09-18,Wisconsin,92738,163540,Abundant,4.05,Strong,1.85,Low,Aging Population,"Suburban, Transport",419287,1993
2011-09-19,Michigan,133837,160776,Abundant,5.71,Strong,1.37,Low,Aging Population,"Suburban, Transport",485450,2896
2011-09-20,North Carolina,95137,182406,Abundant,4.58,Strong,1.88,High,Aging Population,"Urban, Good Schools",574220,3663
2011-09-21,Hawaii,173948,179854,Abundant,3.61,Moderate,0.64,Low,Millennial Buyers,"Urban, Good Schools",198565,3083
2011-09-22,Louisiana,83346,171672,Abundant,3.68,Weak,1.58,Moderate,Millennial Buyers,"Suburban, Transport",675974,2435
2011-09-23,Maryland,196415,174301,Limited,3.01,Weak,1.78,Low,Millennial Buyers,"Urban, Good Schools",627901,3649
2011-09-24,Indiana,52800,101246,Limited,3.93,Strong,1.71,Moderate,Aging Population,"Urban, Good Schools",450960,2461
2011-09-25,New York,198390,109442,Limited,4.77,Moderate,0.91,Moderate,Millennial Buyers,"Urban, Good Schools",1263977,3161
2011-09-26,Utah,106583,119384,Limited,4.28,Moderate,1.86,Low,Millennial Buyers,"Urban, Good Schools",293085,2111
2011-09-27,West Virginia,185121,177884,Abundant,3.11,Moderate,1.08,High,Aging Population,"Suburban, Transport",167166,1958
2011-09-28,Arizona,145100,157549,Abundant,4.29,Weak,0.73,Moderate,Millennial Buyers,"Urban, Good Schools",672478,3681
2011-09-29,Connecticut,158610,156999,Abundant,5.47,Weak,1.84,Moderate,Aging Population,"Suburban, Transport",688260,2768
2011-09-30,Delaware,160399,183141,Abundant,3.32,Weak,1.45,High,Aging Population,"Suburban, Transport",733441,2842
2011-10-01,Tennessee,55109,194458,Abundant,3.41,Weak,1.04,High,Millennial Buyers,"Suburban, Transport",543118,2634
2011-10-02,South Dakota,67914,190833,Abundant,5.82,Moderate,1.86,Moderate,Aging Population,"Suburban, Transport",279464,1615
2011-10-03,Connecticut,81212,159080,Limited,5.62,Strong,1.28,Moderate,Millennial Buyers,"Suburban, Transport",171584,2567
2011-10-04,New Jersey,83692,120127,Limited,5.62,Weak,1.41,Moderate,Millennial Buyers,"Suburban, Transport",185137,2697
2011-10-05,Nevada,178550,125297,Limited,5.51,Moderate,1.6,High,Aging Population,"Suburban, Transport",295569,3990
2011-10-06,Oklahoma,95023,117199,Limited,4.06,Strong,1.48,Moderate,Aging Population,"Suburban, Transport",250406,3669
2011-10-07,Michigan,167178,165436,Limited,4.71,Strong,1.98,Low,Aging Population,"Suburban, Transport",483504,1359
2011-10-08,North Dakota,75097,138261,Abundant,5.38,Strong,0.95,High,Millennial Buyers,"Urban, Good Schools",242753,2922
2011-10-09,South Carolina,78825,174211,Abundant,5.22,Strong,1.32,Low,Millennial Buyers,"Urban, Good Schools",632013,1125
2011-10-10,New Hampshire,101842,107991,Limited,3.74,Moderate,0.79,Moderate,Aging Population,"Urban, Good Schools",393186,2596
2011-10-11,Illinois,92943,128194,Abundant,4.27,Moderate,1.71,High,Millennial Buyers,"Suburban, Transport",632513,3714
2011-10-12,Minnesota,199016,190619,Abundant,4.96,Moderate,1.9,High,Millennial Buyers,"Suburban, Transport",174826,2076
2011-10-13,Virginia,65712,192416,Limited,4.75,Moderate,1.34,Moderate,Aging Population,"Suburban, Transport",598418,3561
2011-10-14,Minnesota,107633,156800,Limited,5.62,Strong,1.22,Low,Millennial Buyers,"Urban, Good Schools",204421,3391
2011-10-15,Massachusetts,186214,181318,Limited,5.42,Strong,1.74,Low,Millennial Buyers,"Suburban, Transport",531937,1144
2011-10-16,Rhode Island,176921,145387,Abundant,4.99,Weak,1.7,High,Aging Population,"Suburban, Transport",789995,2944
2011-10-17,South Dakota,116527,187569,Limited,4.04,Strong,1.81,Moderate,Millennial Buyers,"Suburban, Transport",515838,2147
2011-10-18,Utah,116478,147466,Limited,4.02,Strong,1.63,Moderate,Millennial Buyers,"Suburban, Transport",742987,2693
2011-10-19,Arkansas,124770,177354,Limited,4.63,Strong,1.95,High,Millennial Buyers,"Urban, Good Schools",356444,3520
2011-10-20,Maryland,144604,150730,Limited,5.34,Strong,1.86,Low,Aging Population,"Suburban, Transport",470659,3271
2011-10-21,Iowa,92186,102501,Abundant,3.4,Strong,1.72,High,Millennial Buyers,"Suburban, Transport",506275,3029
2011-10-22,Oklahoma,131588,189003,Abundant,3.61,Strong,0.53,High,Aging Population,"Urban, Good Schools",343352,2164
2011-10-23,West Virginia,161254,155291,Limited,5.79,Strong,1.95,Moderate,Millennial Buyers,"Suburban, Transport",205163,1251
2011-10-24,Oklahoma,80276,156102,Abundant,3.93,Weak,1.86,Moderate,Aging Population,"Urban, Good Schools",199534,2771
2011-10-25,Florida,113231,191403,Limited,4.32,Strong,1.37,Low,Aging Population,"Suburban, Transport",438541,2933
2011-10-26,Hawaii,88500,187108,Limited,4.2,Strong,1.58,High,Millennial Buyers,"Urban, Good Schools",412541,1675
2011-10-27,Alaska,78206,182718,Limited,5.17,Weak,1.55,High,Aging Population,"Urban, Good Schools",231822,2321
2011-10-28,Georgia,151198,121314,Abundant,5.32,Weak,1.39,Low,Millennial Buyers,"Suburban, Transport",175911,1502
2011-10-29,Kentucky,195058,150443,Limited,4.19,Moderate,1.1,Low,Aging Population,"Suburban, Transport",345938,2296
2011-10-30,South Dakota,142924,109370,Limited,4.0,Weak,1.35,High,Aging Population,"Urban, Good Schools",516239,3217
2011-10-31,Maryland,162205,177298,Abundant,4.03,Weak,1.72,Low,Millennial Buyers,"Urban, Good Schools",180300,1572
2011-11-01,Kansas,78111,116096,Abundant,3.48,Strong,1.13,Moderate,Aging Population,"Suburban, Transport",782278,1208
2011-11-02,Georgia,89048,164799,Limited,5.53,Strong,1.9,High,Millennial Buyers,"Suburban, Transport",461069,1258
2011-11-03,New Mexico,160228,170316,Limited,4.74,Weak,0.76,Low,Millennial Buyers,"Suburban, Transport",341004,3399
2011-11-04,Connecticut,156486,199102,Limited,4.41,Weak,1.81,High,Aging Population,"Urban, Good Schools",189578,3458
2011-11-05,Michigan,131731,190931,Limited,4.93,Weak,0.92,Moderate,Millennial Buyers,"Urban, Good Schools",203251,3700
2011-11-06,Colorado,154665,155197,Abundant,3.7,Moderate,1.38,Moderate,Aging Population,"Suburban, Transport",361300,3501
2011-11-07,Washington,185246,138921,Limited,5.24,Moderate,0.71,Low,Millennial Buyers,"Suburban, Transport",539389,2340
2011-11-08,Illinois,154145,132238,Abundant,5.16,Moderate,1.24,Moderate,Millennial Buyers,"Urban, Good Schools",685853,1775
2011-11-09,Rhode Island,179483,176596,Limited,5.19,Moderate,1.14,Low,Aging Population,"Urban, Good Schools",494864,2194
2011-11-10,Utah,175776,197532,Abundant,4.84,Strong,1.52,High,Aging Population,"Suburban, Transport",766549,3253
2011-11-11,Vermont,188413,153768,Abundant,4.75,Moderate,0.81,High,Aging Population,"Urban, Good Schools",517286,1870
2011-11-12,Kentucky,99480,164488,Limited,4.01,Weak,1.77,High,Millennial Buyers,"Suburban, Transport",748170,3737
2011-11-13,Missouri,171315,101891,Limited,4.95,Weak,0.76,Low,Aging Population,"Urban, Good Schools",630958,3496
2011-11-14,Tennessee,116172,111721,Abundant,3.13,Weak,0.8,Moderate,Millennial Buyers,"Urban, Good Schools",509939,2728
2011-11-15,Wisconsin,175123,113811,Limited,5.03,Weak,1.09,High,Aging Population,"Urban, Good Schools",592419,3136
2011-11-16,Oklahoma,53759,105192,Abundant,3.35,Strong,1.76,Low,Millennial Buyers,"Urban, Good Schools",165826,3343
2011-11-17,West Virginia,186415,121181,Abundant,5.46,Moderate,0.93,High,Millennial Buyers,"Urban, Good Schools",273323,2230
2011-11-18,Louisiana,149631,142317,Abundant,4.98,Moderate,0.82,Low,Aging Population,"Suburban, Transport",456602,1763
2011-11-19,Hawaii,176060,128701,Abundant,5.26,Weak,1.76,Moderate,Aging Population,"Urban, Good Schools",405986,3436
2011-11-20,Minnesota,75244,117049,Abundant,4.16,Moderate,0.97,Moderate,Millennial Buyers,"Urban, Good Schools",678912,1704
2011-11-21,South Carolina,104026,132285,Abundant,3.12,Weak,0.84,Low,Millennial Buyers,"Suburban, Transport",302989,3350
2011-11-22,Delaware,146887,116189,Abundant,4.25,Strong,1.14,Moderate,Millennial Buyers,"Urban, Good Schools",578607,2840
2011-11-23,Texas,190969,195255,Abundant,3.68,Moderate,1.7,Low,Aging Population,"Suburban, Transport",391339,1659
2011-11-24,New Mexico,125684,160440,Limited,3.21,Strong,1.51,High,Aging Population,"Urban, Good Schools",205250,1878
2011-11-25,North Dakota,111172,129203,Abundant,3.51,Strong,1.06,High,Aging Population,"Suburban, Transport",216996,2310
2011-11-26,Michigan,57841,161012,Abundant,4.43,Moderate,1.15,High,Aging Population,"Suburban, Transport",439168,2040
2011-11-27,Louisiana,76264,118346,Limited,5.23,Weak,1.71,High,Aging Population,"Suburban, Transport",688529,2619
2011-11-28,Montana,65052,117580,Limited,3.75,Strong,0.59,High,Aging Population,"Suburban, Transport",184153,3557
2011-11-29,Kansas,100184,194318,Limited,3.09,Weak,1.14,Moderate,Aging Population,"Suburban, Transport",773790,3049
2011-11-30,Montana,129831,186412,Limited,4.62,Moderate,0.98,Moderate,Aging Population,"Urban, Good Schools",516684,2623
2011-12-01,Iowa,197627,185172,Limited,3.31,Strong,1.18,Low,Millennial Buyers,"Urban, Good Schools",673987,3635
2011-12-02,Minnesota,99396,198713,Abundant,4.61,Weak,0.76,High,Aging Population,"Urban, Good Schools",395070,2160
2011-12-03,Oklahoma,108652,158948,Abundant,5.49,Strong,1.38,Low,Millennial Buyers,"Suburban, Transport",675191,3124
2011-12-04,California,83674,121631,Limited,5.13,Weak,1.34,High,Aging Population,"Suburban, Transport",551804,2406
2011-12-05,Indiana,189663,131520,Abundant,5.2,Strong,0.73,Low,Millennial Buyers,"Suburban, Transport",189224,2635
2011-12-06,Minnesota,163260,129562,Limited,4.84,Moderate,1.9,High,Aging Population,"Urban, Good Schools",337008,1456
2011-12-07,South Carolina,89940,191091,Abundant,3.97,Strong,1.83,Moderate,Millennial Buyers,"Urban, Good Schools",278657,2499
2011-12-08,Nebraska,161932,127007,Abundant,5.57,Weak,1.1,High,Aging Population,"Suburban, Transport",634957,2124
2011-12-09,Delaware,59808,169530,Abundant,5.53,Strong,0.87,Low,Millennial Buyers,"Suburban, Transport",462717,3555
2011-12-10,Connecticut,51357,164998,Abundant,3.26,Moderate,1.19,High,Millennial Buyers,"Urban, Good Schools",668980,3060
2011-12-11,Kentucky,62194,107348,Abundant,3.8,Strong,1.3,Low,Millennial Buyers,"Urban, Good Schools",388432,2152
2011-12-12,Colorado,193704,129927,Abundant,3.94,Moderate,1.53,High,Millennial Buyers,"Suburban, Transport",514556,1442
2011-12-13,Wisconsin,144872,163794,Abundant,3.87,Strong,1.24,High,Millennial Buyers,"Suburban, Transport",175738,1566
2011-12-14,Tennessee,118093,190274,Limited,3.12,Weak,1.72,Moderate,Aging Population,"Suburban, Transport",673349,3412
2011-12-15,North Carolina,124746,114810,Abundant,3.12,Weak,1.35,High,Millennial Buyers,"Urban, Good Schools",312533,1054
2011-12-16,Missouri,78169,193134,Limited,5.41,Strong,0.53,Low,Millennial Buyers,"Suburban, Transport",293837,3166
2011-12-17,Rhode Island,123130,157037,Abundant,5.34,Weak,1.33,High,Millennial Buyers,"Urban, Good Schools",638086,1024
