Date,State,Housing_Inventory,Construction_Costs,Land_Availability,Interest_Rates,Economic_Conditions,Population_Growth,Consumer_Confidence,Demographic_Trends,House_Price_($),House_Area_(sqft),Location,Amenities
2020-03-11,Maine,159333,173494,Abundant,6.0,Moderate,1.64,Moderate,Aging Population,566657,2650,Suburban,Transport
2019-04-30,Virginia,175187,192273,Limited,4.67,Moderate,0.63,Moderate,Aging Population,587632,1779,Urban,Good Schools
2013-07-02,New Mexico,139921,155236,Limited,4.13,Weak,1.77,Moderate,Millennial Buyers,573137,2465,Suburban,Transport
2022-09-15,Virginia,100465,185302,Limited,3.92,Moderate,0.7,High,Millennial Buyers,297342,1051,Urban,Good Schools
2020-09-22,Virginia,62675,191625,Abundant,4.78,Strong,1.49,High,Aging Population,686299,1177,Urban,Good Schools
2017-05-02,Maine,182307,161683,Limited,4.95,Strong,1.51,Low,Millennial Buyers,685719,3633,Suburban,Transport
2014-06-10,New Jersey,82175,168243,Limited,3.6,Moderate,1.59,Moderate,Millennial Buyers,706812,2835,Urban,Good Schools
2021-03-27,Arkansas,57025,132122,Abundant,5.07,Moderate,1.99,Low,Millennial Buyers,413931,1927,Suburban,Transport
2017-10-28,Arkansas,173634,165008,Limited,4.05,Weak,0.79,Moderate,Aging Population,256163,2929,Urban,Good Schools
2015-03-12,Alaska,101350,155747,Abundant,4.33,Strong,0.93,High,Aging Population,238317,1025,Urban,Good Schools
2020-09-29,Alabama,149046,169161,Abundant,3.14,Strong,1.56,Moderate,Aging Population,322475,2666,Urban,Good Schools
2018-04-03,Utah,168325,133801,Limited,5.64,Moderate,1.49,Low,Millennial Buyers,711846,3486,Suburban,Transport
2022-02-25,New Mexico,140629,165939,Abundant,3.19,Strong,1.94,Moderate,Aging Population,447388,3142,Suburban,Transport
2010-03-09,Oregon,156247,184110,Abundant,4.4,Moderate,1.08,Low,Aging Population,473252,3556,Suburban,Transport
2015-08-05,South Carolina,123773,106928,Limited,4.41,Moderate,1.83,High,Millennial Buyers,305072,3434,Suburban,Transport
2017-01-24,Texas,131265,193281,Limited,3.45,Strong,0.73,High,Millennial Buyers,213052,3894,Urban,Good Schools
2020-05-10,Missouri,73806,173504,Limited,4.04,Strong,1.75,Moderate,Aging Population,513290,2737,Suburban,Transport
2020-05-18,California,166149,158866,Abundant,3.66,Strong,1.24,Low,Aging Population,912006,1847,Urban,Good Schools
2012-03-31,Utah,133678,170691,Limited,5.74,Weak,1.37,Low,Millennial Buyers,339833,2497,Urban,Good Schools
2013-05-11,Alabama,193772,143595,Abundant,4.53,Strong,1.47,Moderate,Millennial Buyers,716414,3559,Suburban,Transport
2018-03-11,Virginia,57931,192815,Abundant,4.35,Strong,0.8,Moderate,Millennial Buyers,513087,3079,Urban,Good Schools
2018-07-30,California,164092,153880,Abundant,3.69,Weak,0.76,Moderate,Millennial Buyers,1489938,1719,Suburban,Transport
2017-07-06,Oregon,124859,155098,Abundant,5.26,Moderate,1.9,High,Millennial Buyers,392700,1696,Urban,Good Schools
2022-03-16,Kansas,177111,169589,Limited,3.85,Weak,1.24,High,Millennial Buyers,561271,1539,Urban,Good Schools
2021-09-09,New York,134674,152232,Abundant,5.42,Strong,1.2,Low,Aging Population,575626,1825,Urban,Good Schools
2019-03-04,North Carolina,93955,185625,Abundant,5.4,Weak,0.72,Moderate,Aging Population,279403,3946,Suburban,Transport
2013-02-17,Arkansas,178260,102284,Abundant,5.92,Weak,1.58,Low,Millennial Buyers,722782,3112,Suburban,Transport
2011-02-02,Utah,133268,146044,Limited,5.26,Strong,1.4,High,Millennial Buyers,195482,2111,Urban,Good Schools
2017-12-16,Massachusetts,141405,140600,Abundant,5.24,Strong,1.6,Low,Millennial Buyers,337723,1315,Urban,Good Schools
2021-10-11,Minnesota,114071,166885,Limited,5.5,Weak,1.85,Low,Aging Population,712284,1991,Urban,Good Schools
2017-07-22,North Dakota,132532,102925,Limited,4.73,Moderate,0.67,Moderate,Aging Population,666234,1912,Suburban,Transport
2013-10-30,California,114692,173155,Abundant,5.56,Moderate,1.74,High,Aging Population,1090993,3619,Suburban,Transport
2014-07-18,Arkansas,183269,155724,Abundant,4.72,Strong,0.56,Low,Aging Population,409961,2916,Suburban,Transport
2012-09-06,Ohio,65463,101369,Limited,5.38,Strong,0.71,Low,Millennial Buyers,161376,1682,Suburban,Transport
2013-07-22,Indiana,159221,138548,Abundant,4.36,Moderate,1.89,Moderate,Aging Population,789209,3060,Suburban,Transport
2019-09-26,New Jersey,65383,118943,Abundant,3.75,Weak,1.09,Moderate,Aging Population,783107,3171,Suburban,Transport
2010-03-24,Massachusetts,166945,159498,Limited,3.07,Weak,1.53,Low,Millennial Buyers,641736,3247,Suburban,Transport
2022-05-05,Idaho,72611,115121,Abundant,3.25,Strong,1.75,Low,Millennial Buyers,583714,1605,Suburban,Transport
2016-09-24,Arizona,184268,177497,Limited,4.78,Moderate,1.26,Moderate,Aging Population,210667,2311,Urban,Good Schools
2020-03-28,Wisconsin,66963,172368,Abundant,3.57,Strong,1.48,Low,Aging Population,499216,2297,Urban,Good Schools
2020-05-09,West Virginia,74871,121803,Limited,3.74,Weak,1.26,Low,Aging Population,737683,1599,Suburban,Transport
2016-04-07,South Dakota,96266,126530,Limited,3.75,Weak,0.86,Moderate,Aging Population,539733,1829,Suburban,Transport
2011-02-28,West Virginia,147118,104896,Abundant,5.08,Weak,1.92,Moderate,Millennial Buyers,533367,2717,Suburban,Transport
2021-11-18,Illinois,129986,126562,Limited,5.44,Moderate,1.99,Moderate,Aging Population,151203,3050,Suburban,Transport
2015-03-20,New York,134779,157467,Limited,5.11,Weak,0.68,High,Millennial Buyers,1649542,1378,Urban,Good Schools
2022-06-05,Rhode Island,53247,199404,Abundant,4.62,Moderate,1.94,Moderate,Aging Population,244885,3131,Urban,Good Schools
2019-03-07,Tennessee,112666,105708,Abundant,4.18,Moderate,0.9,High,Millennial Buyers,506855,1633,Urban,Good Schools
2018-06-30,Rhode Island,72529,135075,Limited,3.28,Strong,0.91,High,Millennial Buyers,167869,2155,Suburban,Transport
2014-04-15,North Dakota,103835,124443,Abundant,5.22,Strong,1.47,Low,Millennial Buyers,592866,3510,Urban,Good Schools
2019-03-10,North Dakota,77416,158146,Limited,4.58,Strong,0.84,Low,Aging Population,439030,1651,Urban,Good Schools
2012-04-19,Mississippi,189562,160426,Abundant,3.46,Strong,0.67,Moderate,Aging Population,426113,3588,Suburban,Transport
2011-05-16,South Dakota,93711,183814,Limited,5.24,Strong,0.88,Moderate,Millennial Buyers,231965,2470,Urban,Good Schools
2010-05-22,Colorado,191896,109517,Limited,5.14,Moderate,1.62,Low,Aging Population,748638,1203,Suburban,Transport
2013-10-09,New Hampshire,118088,100142,Limited,5.97,Strong,1.47,High,Millennial Buyers,565850,3469,Suburban,Transport
2020-02-15,Montana,115212,122966,Limited,3.82,Moderate,1.96,Moderate,Aging Population,468062,3325,Urban,Good Schools
2015-11-15,Montana,143793,158079,Limited,4.29,Strong,1.27,Moderate,Aging Population,598516,1026,Urban,Good Schools
2013-02-12,Georgia,91339,178469,Abundant,5.42,Strong,0.65,Moderate,Millennial Buyers,263494,2599,Urban,Good Schools
2018-01-06,Arkansas,165310,173911,Limited,5.54,Weak,0.92,High,Aging Population,554326,1225,Suburban,Transport
2014-11-23,Texas,180915,187517,Limited,5.4,Weak,1.51,Low,Millennial Buyers,202964,1743,Suburban,Transport
2019-07-17,Oklahoma,141527,173762,Limited,5.13,Weak,1.05,Moderate,Aging Population,484270,1395,Suburban,Transport
2011-07-05,Texas,71288,120442,Limited,4.25,Weak,1.6,Low,Millennial Buyers,202405,3868,Suburban,Transport
2023-06-08,Delaware,83473,155488,Limited,5.61,Strong,1.91,High,Aging Population,706120,1734,Suburban,Transport
2015-07-13,Wyoming,177332,132760,Abundant,5.03,Moderate,1.18,High,Aging Population,378080,1471,Urban,Good Schools
2012-08-06,Kentucky,77865,144707,Abundant,3.71,Moderate,1.26,High,Millennial Buyers,407898,3763,Suburban,Transport
2017-02-13,Iowa,196313,158089,Abundant,4.79,Moderate,1.26,Moderate,Millennial Buyers,288831,2565,Suburban,Transport
2011-06-17,Arkansas,56764,152053,Abundant,5.13,Strong,1.31,High,Aging Population,607171,3231,Suburban,Transport
2015-01-04,Delaware,74198,170766,Abundant,3.32,Weak,1.77,Low,Aging Population,430545,2259,Urban,Good Schools
2017-12-27,Virginia,199543,100050,Abundant,4.12,Strong,0.76,Moderate,Aging Population,506678,2663,Suburban,Transport
2022-02-05,North Dakota,186068,104633,Abundant,4.72,Strong,0.8,Moderate,Aging Population,501984,2180,Urban,Good Schools
2020-08-07,Georgia,169991,116695,Abundant,4.55,Strong,1.21,High,Aging Population,466448,1725,Suburban,Transport
2014-05-22,Maryland,80011,133622,Abundant,5.54,Moderate,1.02,Low,Aging Population,188483,1277,Urban,Good Schools
2011-10-02,Oregon,108825,193775,Limited,5.35,Moderate,1.55,High,Millennial Buyers,624236,2525,Urban,Good Schools
2023-03-26,Ohio,150370,166627,Abundant,3.03,Weak,1.57,Moderate,Millennial Buyers,688556,2692,Urban,Good Schools
2012-08-25,Colorado,72728,198605,Abundant,5.78,Strong,0.68,High,Millennial Buyers,391926,2682,Urban,Good Schools
2021-08-08,South Carolina,121349,156470,Abundant,3.87,Strong,1.53,High,Millennial Buyers,411124,3522,Urban,Good Schools
2017-05-21,Tennessee,160945,192044,Limited,4.29,Moderate,1.2,Low,Aging Population,428999,2607,Urban,Good Schools
2014-08-11,Idaho,198908,150170,Abundant,3.34,Strong,1.3,Moderate,Millennial Buyers,246491,3650,Suburban,Transport
2022-03-29,Georgia,107675,124107,Abundant,5.49,Weak,1.07,Low,Aging Population,778130,3818,Urban,Good Schools
2016-05-31,Georgia,152762,115973,Abundant,5.37,Moderate,1.02,High,Aging Population,441940,3890,Urban,Good Schools
2010-06-05,Maryland,106913,111430,Abundant,4.3,Moderate,1.28,Low,Aging Population,233638,1268,Suburban,Transport
2016-10-23,Massachusetts,180498,105389,Abundant,5.97,Strong,1.02,Low,Aging Population,364802,3085,Suburban,Transport
2022-09-16,Alabama,184410,155208,Abundant,4.88,Weak,1.85,Low,Millennial Buyers,196967,1437,Suburban,Transport
2012-12-25,Hawaii,98015,105476,Limited,5.76,Weak,1.46,High,Millennial Buyers,228483,3937,Urban,Good Schools
2017-04-09,Idaho,68432,176066,Limited,3.08,Weak,1.9,Moderate,Aging Population,332315,3824,Suburban,Transport
2021-08-11,New Mexico,66017,109007,Limited,3.3,Moderate,1.12,High,Aging Population,288422,3145,Suburban,Transport
2010-10-16,Washington,93697,123118,Abundant,5.87,Strong,0.71,Low,Millennial Buyers,621794,3873,Suburban,Transport
2012-07-19,Vermont,111971,166684,Limited,5.88,Weak,1.26,Low,Millennial Buyers,358660,3427,Suburban,Transport
2016-12-10,Pennsylvania,81250,124103,Limited,3.66,Strong,1.08,Low,Aging Population,262922,2308,Urban,Good Schools
2021-01-11,Idaho,182462,151422,Limited,5.14,Strong,1.96,Moderate,Millennial Buyers,292753,3665,Urban,Good Schools
2019-03-26,Idaho,167945,197151,Abundant,4.3,Weak,1.41,High,Millennial Buyers,644536,3822,Suburban,Transport
2022-08-27,Texas,88429,101846,Abundant,3.12,Moderate,1.84,Moderate,Millennial Buyers,529460,2845,Suburban,Transport
2019-01-05,Ohio,129188,152882,Abundant,5.01,Strong,1.86,Moderate,Aging Population,358189,1002,Suburban,Transport
2012-07-31,Arkansas,161784,182142,Abundant,4.44,Moderate,0.51,Low,Aging Population,792777,1408,Urban,Good Schools
2020-07-26,Kentucky,99169,164783,Abundant,5.58,Strong,1.18,Moderate,Millennial Buyers,689682,2493,Urban,Good Schools
2022-10-07,Maryland,83212,175643,Abundant,5.04,Moderate,2.0,Low,Aging Population,370139,1521,Urban,Good Schools
2014-08-26,Texas,128123,103245,Limited,4.95,Weak,0.94,Low,Millennial Buyers,531777,2569,Suburban,Transport
2022-11-22,Kentucky,91773,140322,Abundant,4.36,Weak,1.24,Moderate,Aging Population,283930,3140,Urban,Good Schools
2018-10-06,Nebraska,152388,148029,Limited,5.6,Moderate,1.41,Moderate,Aging Population,305172,3300,Suburban,Transport
2022-08-07,Rhode Island,121441,154407,Abundant,3.95,Moderate,1.62,Moderate,Millennial Buyers,628440,2800,Suburban,Transport
2022-08-14,Wisconsin,89120,196673,Limited,3.18,Moderate,1.33,Moderate,Aging Population,681026,1970,Suburban,Transport
2012-09-12,New York,113465,110131,Limited,4.73,Moderate,0.82,High,Millennial Buyers,883147,1094,Urban,Good Schools
2019-02-01,Texas,186463,108776,Abundant,3.71,Strong,1.68,Low,Millennial Buyers,279659,1565,Suburban,Transport
2017-11-07,Alaska,79500,126971,Abundant,5.45,Weak,1.11,Low,Aging Population,231843,1085,Suburban,Transport
2021-02-08,South Dakota,191156,160543,Abundant,4.97,Strong,1.54,Moderate,Aging Population,264661,3571,Suburban,Transport
2023-01-30,Minnesota,155728,127900,Abundant,4.85,Strong,1.48,High,Aging Population,271690,2641,Urban,Good Schools
2012-09-08,Massachusetts,113946,104400,Abundant,5.75,Moderate,1.85,High,Aging Population,583969,2000,Urban,Good Schools
2016-10-28,Rhode Island,195165,161413,Limited,5.54,Moderate,1.12,Low,Aging Population,786358,3986,Suburban,Transport
2020-05-20,Pennsylvania,196063,136428,Limited,3.18,Strong,1.71,Moderate,Aging Population,517040,3300,Suburban,Transport
2019-09-19,Illinois,93781,196779,Limited,4.48,Moderate,1.36,High,Millennial Buyers,219234,3400,Urban,Good Schools
2018-01-21,Oklahoma,150399,161224,Limited,3.16,Weak,0.82,Low,Aging Population,417454,2114,Urban,Good Schools
2019-08-29,Alabama,121477,178043,Limited,3.19,Strong,0.53,Moderate,Millennial Buyers,774503,1892,Urban,Good Schools
2020-07-12,Oregon,127487,152522,Abundant,4.03,Strong,1.63,High,Aging Population,311531,1134,Urban,Good Schools
2013-12-28,Georgia,80300,123295,Abundant,3.74,Moderate,1.69,Moderate,Millennial Buyers,608327,2520,Suburban,Transport
2013-10-27,Tennessee,121289,157357,Limited,5.98,Strong,0.74,Moderate,Aging Population,277589,1508,Urban,Good Schools
2010-09-22,Massachusetts,102387,134805,Abundant,3.7,Moderate,1.4,Low,Millennial Buyers,794814,1085,Suburban,Transport
2021-03-19,Maryland,179594,187615,Limited,5.84,Moderate,0.79,Low,Millennial Buyers,536842,2444,Urban,Good Schools
2012-07-18,North Carolina,159669,125683,Abundant,3.29,Weak,1.98,Moderate,Millennial Buyers,782844,1280,Urban,Good Schools
2023-05-04,Ohio,173566,148316,Limited,4.52,Weak,0.9,High,Aging Population,582485,1767,Suburban,Transport
2017-05-16,Utah,103044,185920,Abundant,5.07,Moderate,0.59,Moderate,Aging Population,530741,3172,Urban,Good Schools
2010-09-04,South Carolina,137436,107792,Limited,5.57,Strong,1.82,High,Millennial Buyers,250590,1084,Suburban,Transport
2019-10-30,Virginia,116768,114390,Abundant,4.54,Strong,1.56,Moderate,Aging Population,388672,1718,Urban,Good Schools
2014-10-25,Tennessee,81536,136149,Limited,3.83,Strong,1.01,Low,Aging Population,494154,2324,Suburban,Transport
2023-04-28,Louisiana,190921,105508,Limited,3.87,Weak,1.15,Moderate,Aging Population,204501,1542,Suburban,Transport
2017-09-11,Kansas,117499,130067,Limited,4.51,Strong,0.53,Moderate,Millennial Buyers,431205,3344,Urban,Good Schools
2012-07-12,Indiana,164381,159927,Abundant,3.18,Moderate,1.78,Low,Aging Population,435109,3068,Suburban,Transport
2017-11-20,California,180395,199516,Limited,4.08,Moderate,1.0,High,Millennial Buyers,789525,1101,Suburban,Transport
2010-09-26,North Dakota,63454,178731,Limited,5.27,Weak,0.69,Moderate,Aging Population,461676,3296,Suburban,Transport
2011-11-01,Rhode Island,155983,122174,Limited,5.4,Strong,1.23,Low,Aging Population,564165,2386,Suburban,Transport
2022-04-03,Arkansas,177597,125114,Limited,4.56,Strong,1.07,High,Millennial Buyers,584101,2573,Urban,Good Schools
2015-03-26,Montana,72388,164618,Limited,3.46,Moderate,1.61,Moderate,Aging Population,723687,2012,Suburban,Transport
2018-03-05,South Dakota,151674,165425,Limited,4.15,Moderate,1.32,High,Aging Population,411542,1324,Urban,Good Schools
2013-02-26,South Carolina,135009,129605,Abundant,5.79,Strong,1.18,Low,Aging Population,262507,1203,Suburban,Transport
2023-03-11,New York,75437,145281,Limited,5.61,Moderate,1.95,High,Aging Population,1727353,1369,Suburban,Transport
2019-06-18,New Jersey,87229,106604,Limited,5.23,Moderate,1.83,Low,Aging Population,360294,1088,Urban,Good Schools
2021-08-12,New York,182178,107569,Limited,4.11,Strong,1.04,Moderate,Millennial Buyers,534585,3975,Suburban,Transport
2022-06-16,Maine,107427,194555,Abundant,4.35,Weak,1.92,Low,Aging Population,269124,3308,Suburban,Transport
2015-12-13,Kentucky,60684,141127,Limited,3.98,Strong,1.07,High,Aging Population,334083,3157,Suburban,Transport
2022-05-13,Colorado,61949,128819,Abundant,4.68,Strong,1.98,Low,Aging Population,771523,1880,Suburban,Transport
2015-03-31,Maine,199934,175889,Limited,4.49,Weak,1.27,Moderate,Aging Population,444082,2964,Suburban,Transport
2011-09-05,Maryland,65517,103287,Limited,4.97,Strong,0.52,High,Aging Population,781861,2395,Urban,Good Schools
2016-08-03,Kentucky,189393,130828,Abundant,5.2,Weak,1.98,High,Millennial Buyers,485883,2886,Urban,Good Schools
2021-07-07,Nebraska,79771,141801,Abundant,5.58,Moderate,0.85,Moderate,Aging Population,693139,2323,Urban,Good Schools
2015-03-14,Washington,69510,177177,Abundant,3.34,Weak,1.1,High,Aging Population,358497,2339,Suburban,Transport
2014-07-08,Rhode Island,60733,111745,Abundant,3.5,Moderate,0.88,High,Millennial Buyers,483190,2715,Urban,Good Schools
2017-02-20,Utah,179694,189455,Abundant,4.19,Strong,1.27,High,Aging Population,335852,1458,Urban,Good Schools
2010-09-16,Texas,122723,175077,Abundant,5.43,Strong,0.87,Low,Aging Population,353546,2850,Suburban,Transport
2012-04-27,Arkansas,199227,117645,Abundant,4.47,Strong,1.33,High,Millennial Buyers,661498,3151,Suburban,Transport
2021-08-22,Connecticut,194823,199295,Abundant,5.54,Moderate,1.52,Low,Aging Population,289918,1936,Urban,Good Schools
2013-05-18,Maine,152633,132782,Limited,4.35,Strong,1.52,Low,Millennial Buyers,639707,3874,Urban,Good Schools
2013-02-01,Kansas,143523,195159,Limited,5.93,Moderate,0.76,Low,Millennial Buyers,712504,1190,Suburban,Transport
2015-05-22,Washington,50814,167067,Limited,5.41,Strong,0.66,Moderate,Aging Population,579235,2532,Urban,Good Schools
2011-07-13,Montana,104095,166141,Limited,3.38,Weak,1.91,Low,Millennial Buyers,482428,3750,Suburban,Transport
2020-09-10,Tennessee,178664,178788,Limited,4.36,Weak,1.26,Low,Aging Population,751030,2440,Urban,Good Schools
2011-04-30,Missouri,70256,128481,Limited,3.12,Moderate,1.3,Low,Millennial Buyers,403640,2934,Suburban,Transport
2013-08-13,Oregon,134426,188324,Limited,5.86,Strong,0.83,Moderate,Aging Population,513092,3305,Suburban,Transport
2019-04-28,Vermont,91633,106236,Abundant,3.13,Moderate,1.61,High,Millennial Buyers,763323,2836,Urban,Good Schools
2010-01-08,Wisconsin,101890,112771,Limited,5.23,Strong,1.01,Low,Millennial Buyers,797614,2689,Urban,Good Schools
2018-12-24,Iowa,165536,124240,Limited,3.86,Strong,0.92,Low,Millennial Buyers,493838,2899,Urban,Good Schools
2018-09-25,New Mexico,141689,165564,Limited,5.05,Strong,1.75,Low,Aging Population,672088,1932,Suburban,Transport
2013-12-21,Nebraska,144155,165519,Limited,3.44,Weak,0.63,Moderate,Millennial Buyers,189781,3110,Urban,Good Schools
2020-11-24,Arizona,185359,157281,Abundant,5.93,Weak,0.5,Low,Millennial Buyers,762023,3312,Suburban,Transport
2014-12-20,Arizona,198864,104117,Abundant,3.37,Moderate,0.6,Moderate,Millennial Buyers,431691,2260,Suburban,Transport
2012-02-13,Alaska,124340,160810,Limited,3.9,Weak,1.41,High,Millennial Buyers,701059,1968,Suburban,Transport
2012-10-08,Oklahoma,158039,157996,Abundant,3.87,Moderate,0.57,High,Aging Population,634188,3327,Urban,Good Schools
2017-09-19,Utah,76282,150235,Abundant,5.62,Moderate,0.65,Moderate,Millennial Buyers,241163,2386,Suburban,Transport
2018-12-20,Oklahoma,184283,117749,Limited,4.69,Moderate,1.67,Low,Millennial Buyers,334624,1940,Suburban,Transport
2015-06-15,California,69148,136508,Abundant,5.99,Moderate,1.21,Moderate,Millennial Buyers,1502218,2786,Suburban,Transport
2013-07-01,Maryland,120781,136383,Abundant,4.33,Moderate,0.6,High,Millennial Buyers,178740,3471,Suburban,Transport
2014-11-19,Utah,196960,127550,Abundant,5.78,Moderate,1.52,High,Millennial Buyers,606613,3487,Urban,Good Schools
2018-07-03,Oklahoma,175281,111051,Abundant,5.44,Moderate,0.94,High,Aging Population,662036,2569,Suburban,Transport
2011-03-23,Vermont,65511,175012,Limited,4.41,Moderate,1.22,Moderate,Millennial Buyers,623307,1004,Suburban,Transport
2012-05-30,Alaska,76069,153861,Abundant,3.83,Strong,0.98,High,Aging Population,705898,3372,Suburban,Transport
2022-03-18,New York,158547,192356,Limited,4.26,Weak,1.53,High,Millennial Buyers,633523,3353,Suburban,Transport
2012-02-21,Delaware,79152,171158,Abundant,3.89,Strong,1.71,Low,Aging Population,311968,1052,Urban,Good Schools
2014-10-16,North Carolina,118824,153587,Limited,3.44,Strong,0.77,Moderate,Aging Population,195932,1858,Suburban,Transport
2019-04-12,Alaska,68568,130571,Abundant,5.57,Moderate,0.85,Moderate,Aging Population,284753,3586,Urban,Good Schools
2023-05-14,Idaho,183421,177571,Limited,5.65,Strong,1.26,High,Aging Population,766683,2635,Urban,Good Schools
2012-06-02,Nevada,61667,195826,Abundant,4.46,Moderate,0.63,Moderate,Millennial Buyers,458791,2134,Suburban,Transport
2018-01-23,New Hampshire,188311,112289,Abundant,3.75,Strong,0.65,High,Millennial Buyers,532195,3462,Urban,Good Schools
2012-12-27,Minnesota,123499,143022,Limited,3.83,Weak,0.88,Moderate,Millennial Buyers,199420,1852,Urban,Good Schools
2023-02-05,Delaware,108882,130869,Limited,3.81,Strong,0.64,Moderate,Millennial Buyers,362407,1305,Urban,Good Schools
2011-06-16,Illinois,69116,199219,Limited,5.03,Weak,0.61,High,Millennial Buyers,280547,3351,Suburban,Transport
2021-01-05,Washington,76901,172222,Abundant,5.49,Weak,0.75,Low,Aging Population,647971,1237,Urban,Good Schools
2022-02-08,Georgia,143501,122140,Abundant,3.35,Strong,1.47,Moderate,Aging Population,702173,3993,Suburban,Transport
2021-03-22,South Carolina,89041,147041,Abundant,4.92,Strong,0.91,High,Aging Population,754089,3044,Urban,Good Schools
2014-09-24,Alaska,62483,166298,Abundant,3.93,Strong,1.36,Moderate,Aging Population,256790,2299,Suburban,Transport
2011-09-03,Connecticut,61793,130731,Limited,5.17,Strong,1.74,Moderate,Millennial Buyers,773824,3196,Urban,Good Schools
2011-07-25,Nevada,99201,171283,Abundant,5.98,Strong,1.09,Low,Millennial Buyers,339554,3706,Suburban,Transport
2017-04-25,Arizona,87475,106775,Limited,4.83,Moderate,1.47,High,Millennial Buyers,249921,1112,Urban,Good Schools
2020-03-07,Utah,59442,107585,Abundant,5.36,Weak,1.3,High,Millennial Buyers,683063,2756,Urban,Good Schools
2010-12-10,Vermont,151632,132121,Limited,4.64,Strong,1.22,High,Aging Population,343165,2108,Suburban,Transport
2018-03-20,Georgia,152973,181429,Limited,3.74,Strong,0.87,Moderate,Aging Population,512071,3943,Urban,Good Schools
2018-08-06,New York,165428,133075,Abundant,4.19,Strong,1.32,High,Millennial Buyers,562856,2204,Urban,Good Schools
2011-03-11,California,158677,168070,Limited,5.91,Moderate,1.92,Low,Aging Population,586783,2909,Suburban,Transport
2015-03-19,Iowa,93017,193695,Abundant,5.0,Strong,1.41,Moderate,Aging Population,609369,3729,Suburban,Transport
2020-06-01,North Carolina,58949,163062,Abundant,3.16,Strong,1.61,Low,Aging Population,210739,1319,Suburban,Transport
2023-01-29,Utah,115359,101326,Limited,4.75,Weak,0.94,High,Millennial Buyers,453039,1629,Suburban,Transport
2015-09-01,Maine,192040,136109,Abundant,4.96,Weak,1.44,Moderate,Millennial Buyers,281558,2329,Urban,Good Schools
2014-03-18,Michigan,63611,142989,Abundant,3.78,Weak,1.2,Low,Millennial Buyers,510765,1574,Urban,Good Schools
2016-03-02,Nevada,73001,198480,Abundant,5.19,Weak,1.11,Moderate,Aging Population,389488,3191,Suburban,Transport
2016-06-04,Montana,99229,122676,Abundant,3.45,Strong,0.61,High,Millennial Buyers,383035,1618,Suburban,Transport
2014-02-26,Wyoming,60319,105127,Abundant,4.19,Strong,1.65,High,Millennial Buyers,648022,1645,Urban,Good Schools
2012-08-23,Kansas,91323,110907,Limited,5.47,Strong,1.19,Moderate,Aging Population,329473,1931,Suburban,Transport
2022-01-24,Iowa,115088,145118,Limited,3.83,Weak,0.59,Moderate,Millennial Buyers,466313,1232,Suburban,Transport
2011-06-13,South Carolina,143390,182566,Abundant,4.21,Strong,1.34,Moderate,Millennial Buyers,495065,1760,Suburban,Transport
2010-06-26,New Hampshire,60763,104977,Limited,5.12,Strong,1.04,Low,Aging Population,369301,1819,Suburban,Transport
2019-07-15,Arizona,195745,185283,Limited,4.15,Weak,1.09,Moderate,Aging Population,201271,1216,Suburban,Transport
2016-12-18,Louisiana,75615,195712,Abundant,5.88,Moderate,0.87,Low,Aging Population,769470,1328,Urban,Good Schools
2023-07-07,Wyoming,137608,195760,Abundant,3.14,Weak,0.65,Moderate,Aging Population,464483,2022,Urban,Good Schools
2011-07-27,Mississippi,147683,114390,Abundant,5.33,Strong,0.75,Moderate,Aging Population,182290,2594,Urban,Good Schools
2016-04-18,West Virginia,158458,156943,Abundant,3.43,Weak,0.67,Low,Aging Population,486505,1370,Urban,Good Schools
2019-08-10,Maryland,106371,148089,Limited,4.82,Weak,1.69,Moderate,Millennial Buyers,511320,3478,Urban,Good Schools
2016-09-25,Maine,137085,196488,Limited,5.58,Strong,0.69,Low,Millennial Buyers,589648,1563,Urban,Good Schools
2019-11-19,Kentucky,51172,159738,Limited,3.24,Moderate,1.21,High,Millennial Buyers,248917,2061,Urban,Good Schools
2022-06-21,Ohio,151992,112756,Limited,4.93,Moderate,0.96,Moderate,Aging Population,566439,2164,Urban,Good Schools
2016-01-18,Wyoming,130959,153040,Abundant,5.67,Weak,1.43,Low,Millennial Buyers,367112,1546,Urban,Good Schools
2022-12-04,Washington,177879,186490,Abundant,3.14,Moderate,1.17,High,Aging Population,489004,2805,Suburban,Transport
2017-07-18,Missouri,79707,148744,Limited,4.56,Moderate,1.98,Low,Millennial Buyers,301570,3890,Suburban,Transport
2011-01-19,Vermont,141943,183163,Limited,3.32,Weak,1.1,Moderate,Millennial Buyers,574277,3827,Suburban,Transport
2012-05-02,Alabama,143176,108614,Abundant,4.77,Strong,1.23,Moderate,Aging Population,760288,1152,Suburban,Transport
2015-02-24,Massachusetts,157030,161898,Limited,5.58,Weak,1.34,High,Millennial Buyers,210646,3076,Urban,Good Schools
2011-01-06,Colorado,109392,122719,Abundant,5.52,Strong,1.5,Low,Millennial Buyers,490024,3374,Suburban,Transport
2016-07-06,Massachusetts,99105,167118,Limited,3.93,Strong,0.84,Low,Millennial Buyers,539898,3884,Suburban,Transport
2021-11-02,Ohio,156331,124830,Abundant,4.17,Strong,1.18,Moderate,Aging Population,382469,1279,Suburban,Transport
2013-01-10,Ohio,84337,126293,Limited,5.04,Weak,1.61,Moderate,Millennial Buyers,712778,2307,Suburban,Transport
2019-05-07,Wyoming,163034,105706,Abundant,5.23,Weak,1.28,High,Millennial Buyers,607200,1672,Urban,Good Schools
